"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.792367958E0,1.260255506E0,-1.349129822E0,4.775747883E0,5.120172170E0
2.802336958E0,1.296477691E0,-1.910800493E0,4.999153621E0,5.506682291E0
2.812306958E0,1.019696084E0,-2.401045087E0,5.001911168E0,5.641268735E0
2.822275958E0,5.156061606E-1,-2.781446226E0,4.543302934E0,5.351999101E0
2.832245958E0,-2.687380314E-2,-3.052612606E0,3.739800779E0,4.827553810E0
2.842215958E0,-4.432654318E-1,-3.135383452E0,2.907639080E0,4.299009032E0
2.852184958E0,-7.821145025E-1,-3.030958613E0,2.154123017E0,3.799823572E0
2.862154958E0,-9.280399552E-1,-2.864811734E0,1.429060675E0,3.333259492E0
2.872123958E0,-7.145838395E-1,-2.990689423E0,9.746595132E-1,3.225649463E0
2.882093958E0,-4.665810581E-1,-3.240042765E0,8.495314372E-1,3.381904592E0
2.892063958E0,-3.562597400E-1,-3.573383174E0,7.575237447E-1,3.670126774E0
2.902032958E0,-2.881718373E-1,-3.997242574E0,6.945141488E-1,4.067350625E0
2.912002958E0,-2.790405330E-1,-4.446806334E0,6.860830486E-1,4.508066120E0
2.921971958E0,-3.665192646E-1,-4.840958955E0,6.852392954E-1,4.902935128E0
2.931941958E0,-6.604739982E-1,-5.074558729E0,5.868198386E-1,5.150896011E0
2.941911958E0,-1.043209346E0,-5.160199388E0,4.243610913E-1,5.281668846E0
2.951880958E0,-1.327898289E0,-5.235456562E0,1.871120703E-1,5.404473166E0
2.961850958E0,-1.553521876E0,-5.090062037E0,-1.283634867E-1,5.323404826E0
2.971819958E0,-1.651090563E0,-4.734589916E0,-7.497064559E-1,5.069960699E0
2.981789958E0,-1.729723919E0,-4.293652554E0,-1.379946256E0,4.830284542E0
2.991758958E0,-1.963171665E0,-3.793181764E0,-1.758565456E0,4.618963450E0
